student_id,Subject,Semester,Section,gender,enrollment_reason,enrollment_status,time_spent,time_spent_hours
_60186,AnPhA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,2087.0501,34.784168333333334
_66693,AnPhA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,2309.0334,38.483889999999995
_66811,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,5298.8507,88.31417833333333
_66862,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1746.9667,29.116111666666665
_67508,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,2668.183,44.46971666666666
_70532,AnPhA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,2938.4666,48.97444333333333
_77010,AnPhA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,1533.0996,25.551660000000002
_85249,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1209.8496,20.16416
_85411,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,473.0333,7.883888333333333
_85583,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,5532.4164,92.20694
_85865,AnPhA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,95.3,1.5883333333333334
_85866,AnPhA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,3050.0831,50.83471833333333
_85970,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,610.8334,10.180556666666666
_86072,AnPhA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,608.1834,10.13639
_86119,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2127.0664,35.45110666666667
_86267,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,406.0001,6.766668333333333
_86275,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,7067.1498,117.78583
_86277,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,3856.8672,64.28112
_86286,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,4140.4495,69.00749166666667
_86294,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,4239.5495,70.65915833333334
_86429,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,7003.0005,116.716675
_86432,AnPhA,S116,01,M,Scheduling Conflict,Approved/Enrolled,3715.9002,61.931670000000004
_86446,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,2527.6997,42.128328333333336
_86451,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,4176.8337,69.613895
_86476,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,1937.5168,32.29194666666667
_86479,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2712.234,45.2039
_86484,AnPhA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,1872.0336,31.20056
_86488,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,3599.7168,59.99528
_86492,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,893.1332,14.885553333333332
_86504,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,1551.3498,25.85583
_86588,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,67.5167,1.1252783333333334
_86608,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,3109.0664,51.817773333333335
_87043,AnPhA,S116,01,F,Other,Approved/Enrolled,1587.1833,26.453055
_87166,AnPhA,S116,01,M,Course Unavailable at Local School,Approved/Enrolled,1471.8833,24.531388333333332
_88050,AnPhA,S116,01,F,Course Unavailable at Local School,Approved/Enrolled,2130.6666,35.51111
_88068,AnPhA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,535.8334,8.930556666666666
_88099,AnPhA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,2615.4998,43.59166333333334
_88153,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,6954.6997,115.91166166666667
_88641,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,1998.4998,33.30833
_89142,AnPhA,S116,01,F,Other,Approved/Enrolled,3067.4676,51.12446
_89194,AnPhA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,317.2168,5.286946666666666
_89918,AnPhA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,6009.3666,100.15611
_90305,AnPhA,S116,01,F,Scheduling Conflict,Approved/Enrolled,2363.6832,39.39472
_56152,AnPhA,S116,02,F,Scheduling Conflict,Approved/Enrolled,4438.8165,73.98027499999999
_57188,AnPhA,S116,02,M,Learning Preference of the Student,Approved/Enrolled,5305.4334,88.42389
_65627,AnPhA,S116,02,F,Learning Preference of the Student,Approved/Enrolled,2164.9001,36.08166833333333
_70192,AnPhA,S116,02,F,Scheduling Conflict,Approved/Enrolled,1537.1834,25.619723333333333
_76930,AnPhA,S116,02,F,Learning Preference of the Student,Approved/Enrolled,2804.9832,46.74972
_79220,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,3781.6498,63.02749666666667
_86314,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,3030.1667,50.50277833333334
_86707,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,2143.133,35.71888333333333
_90394,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,1886.5329,31.442214999999997
_90395,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,2300.6664,38.34444
_90396,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,3544.8161,59.080268333333336
_90397,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,2394.3497,39.90582833333334
_90398,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,4264.25,71.07083333333334
_90399,AnPhA,S116,02,M,Course Unavailable at Local School,Approved/Enrolled,768.4833,12.808055
_90956,AnPhA,S116,02,F,Other,Approved/Enrolled,1550.4668,25.841113333333332
_90971,AnPhA,S116,02,F,Other,Approved/Enrolled,3785.2838,63.08806333333334
_90995,AnPhA,S116,02,F,Learning Preference of the Student,Approved/Enrolled,202.2832,3.3713866666666665
_91065,AnPhA,S116,02,M,Other,Approved/Enrolled,1334.7001,22.245001666666667
_91175,AnPhA,S116,02,F,Learning Preference of the Student,Approved/Enrolled,1315.25,21.920833333333334
_91319,AnPhA,S116,02,F,Other,Approved/Enrolled,686.2998,11.43833
_91320,AnPhA,S116,02,M,Course Unavailable at Local School,Approved/Enrolled,584.9166,9.748610000000001
_91574,AnPhA,S116,02,M,Scheduling Conflict,Approved/Enrolled,2999.75,49.99583333333333
_91619,AnPhA,S116,02,M,Course Unavailable at Local School,Approved/Enrolled,1272.2331,21.203885
_91634,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,1857.8168,30.963613333333335
_91672,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,2763.0331,46.05055166666667
_91709,AnPhA,S116,02,F,Course Unavailable at Local School,Approved/Enrolled,4315.8839,71.93139833333333
_91771,AnPhA,S116,02,M,Course Unavailable at Local School,Approved/Enrolled,540.5001,9.008334999999999
_91932,AnPhA,S116,02,M,Other,Approved/Enrolled,1182.9667,19.716111666666666
_92185,AnPhA,S116,02,F,Scheduling Conflict,Approved/Enrolled,6162.1998,102.70333000000001
_52326,AnPhA,S216,01,F,Other,Approved/Enrolled,1321.8164,22.030273333333334
_58168,AnPhA,S216,01,F,Other,Approved/Enrolled,433.3669,7.222781666666666
_67013,AnPhA,S216,01,M,Course Unavailable at Local School,Approved/Enrolled,2297.2332,38.287220000000005
_69743,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,7084.7003,118.07833833333333
_71725,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,3514.5498,58.575829999999996
_76673,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,4945.2164,82.42027333333334
_76674,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,2368.4997,39.474995
_76840,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,3968.1668,66.13611333333333
_76998,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,1270.0997,21.16832833333333
_78164,AnPhA,S216,01,F,Learning Preference of the Student,Approved/Enrolled,2591.6168,43.19361333333333
_85248,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,2269.8829,37.831381666666665
_86268,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,1272.3172,21.205286666666666
_86942,AnPhA,S216,01,F,Scheduling Conflict,Approved/Enrolled,3101.5166,51.691943333333334
_88440,AnPhA,S216,01,M,Learning Preference of the Student,Approved/Enrolled,2544.4002,42.40667
_88612,AnPhA,S216,01,F,Other,Approved/Enrolled,2258.9165,37.64860833333333
_91313,AnPhA,S216,01,M,Scheduling Conflict,Approved/Enrolled,3134.9666,52.24944333333334
_91326,AnPhA,S216,01,F,Other,Approved/Enrolled,657.1668,10.952779999999999
_94246,AnPhA,S216,01,M,Course Unavailable at Local School,Approved/Enrolled,1351.9003,22.531671666666668
_94691,AnPhA,S216,01,M,Course Unavailable at Local School,Approved/Enrolled,258.35,4.305833333333334
_94805,AnPhA,S216,01,F,Scheduling Conflict,Approved/Enrolled,4438.7165,73.97860833333334
_94846,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,764.1668,12.736113333333332
_94872,AnPhA,S216,01,F,Other,Approved/Enrolled,3547.0667,59.117778333333334
_95014,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,2999.9832,49.99972
_95114,AnPhA,S216,01,F,Course Unavailable at Local School,Dropped,546.85,9.114166666666668
_95283,AnPhA,S216,01,F,Other,Approved/Enrolled,2689.4502,44.82417
_95545,AnPhA,S216,01,F,Other,Approved/Enrolled,4284.4003,71.40667166666667
_95594,AnPhA,S216,01,M,Scheduling Conflict,Approved/Enrolled,1419.8,23.663333333333334
_95601,AnPhA,S216,01,F,Other,Approved/Enrolled,2915.5167,48.591945
_95618,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,3789.3996,63.15666
_95620,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,4013.3999,66.88999833333334
_95634,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,4466.367,74.43945000000001
_95915,AnPhA,S216,01,F,Learning Preference of the Student,Approved/Enrolled,2670.7669,44.51278166666667
_95957,AnPhA,S216,01,M,Course Unavailable at Local School,Approved/Enrolled,3542.5501,59.042501666666666
_96228,AnPhA,S216,01,M,Scheduling Conflict,Approved/Enrolled,1747.1669,29.11944833333333
_96640,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,769.2331,12.820551666666667
_96677,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,11.0333,0.18388833333333335
_96680,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,1776.5166,29.60861
_96690,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,1969.5003,32.825005
_96720,AnPhA,S216,01,F,Learning Preference of the Student,Approved/Enrolled,68.1167,1.1352783333333332
_96853,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,2521.2334,42.02055666666667
_96854,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,2563.3833,42.723055
_96959,AnPhA,S216,01,M,Course Unavailable at Local School,Approved/Enrolled,1727.2666,28.787776666666666
_96994,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,2676.7501,44.61250166666667
_74552,AnPhA,S216,02,F,Other,Approved/Enrolled,6123.8832,102.06472000000001
_88979,AnPhA,S216,02,F,Scheduling Conflict,Dropped,364.5001,6.075001666666666
_91164,AnPhA,S216,02,F,Course Unavailable at Local School,Approved/Enrolled,4359.0996,72.65165999999999
_94219,AnPhA,S216,02,F,Learning Preference of the Student,Dropped,151.75,2.529166666666667
_94542,AnPhA,S216,02,F,Other,Approved/Enrolled,1558.5331,25.975551666666668
_94545,AnPhA,S216,02,F,Other,Approved/Enrolled,855.3833,14.256388333333332
_94550,AnPhA,S216,02,F,Other,Approved/Enrolled,2856.6166,47.610276666666664
_94898,AnPhA,S216,02,F,Other,Approved/Enrolled,1904.1662,31.736103333333332
_94903,AnPhA,S216,02,F,Course Unavailable at Local School,Approved/Enrolled,2288.5835,38.143058333333336
_95017,AnPhA,S216,02,F,Other,Approved/Enrolled,2773.6164,46.22694
_95041,AnPhA,S216,02,F,Other,Approved/Enrolled,322.9502,5.382503333333333
